1,2,3,4,5
introspection,multifarious,impervious,waft,shunt
philanthropist,substantiation,feral,conceit,inured
antidote,feud,convoke,volubility,denouement
strive,indefatigability,breach,resigned,plethora
ambidextrous,convoluted,credulous,facile,forge
precursors,euthanasia,Conduce,contiguous,sordid
retrospective,underbid,superfluous,verisimilitude,cursory
introvert,cognizant,daunt,husk,argot
ambiguous,concoct,trudge,pernicious,gregarious
gerontocracy,turquoise,mephitic,fringe,sinuous
aggravate,decree,equipoise,somatic,hone
braggart,irate,chastisement,abut,impecunious
entice,frantic,thrift,chastened,desultory
equilibrium,alcove,rarefy,coax,augury
alleviate,reverent,neophyte,incursion,odium
adorn,derogatory,benign,repudiate,vigilant
malevolent,fawn,dissent,dolt,propinquity
connote,miser,lackluster,parley,salacious
abhor,valiant,veneration,effluvia,homiletics
agile,pervade,fret,insipid,recalcitrant
endeavor,tarnished,pious,jejune,harangue
stray,irrevocable,impiety,penurious,libertine
renovate,imminent,rave,obfuscate,turgid
curriculum,soggy,heresy,preclude,epistle
amalgamate,savor,frenetic,defalcate,foible
drowsiness,wanton,disheveled,disingenuous,harrow
disrobe,unearth,scalding,encumbrance,inculcate
xenophile,hoax,guile,quirk,eclat
suffocate,voluptuous,irresolute,obtain,deposition
sequence,earthenware,telltale,gloat,tangential
scent,suppress,temperate,morose,countervail
sporadic,vindictive,chicanery,scorch,gainsay
affinity,defiance,grave,foil,middling
audacious,pinch,blas,perpetrate,gossamer
heterogeneous,coalescing,exoneration,regale,stentorian
animosity,gust,hoodwink,disparate,resort
fragile,candid,tawdry,extempore,divestiture
acumen,warmonger,debacle,Palpable,churl
legacy,wince,striated,malinger,repertoire
massacre,loquacious,feckless,discern,nary
submerge,gush,reticence,pundit,pinchbeck
combustion,swerve,resilience,Pastiche,finicky
adulteration,peccadillo,contentious,transitory,temperance
appease,precursory,ardor,extant,profane
premature,plunge,disdain,salubrious,truculence
inquest,counterfeit,cajole,waffle,glean
shunned,revere,glimmer,deluge,inveigh
conceal,torment,jocular,ascribe,levee
anguish,exculpate,taunt,perfunctory,diaphanous
indigenous,abraded,conundrum,squalid,diffidence
apt,squander,incite,sullied,trepidation
correlate,quandary,terse,mundane,tenuous
grumble,dawdler,abeyance,exscind,rebuff
offhand,noxious,drawl,grouse,nugatory
somersault,compunction,myriad,lachrymose,opprobrious
extinguish,deplete,apotheosis,visceral,pucker
edible,coerce,guileless,grovel,vitiate
conjoin,recompense,alacrity,temerity,disinter
surcharge,proliferate,clinch,collusion,foppish
accolade,polemic,clamor,extenuate,astringent
disallow,personable,falter,bandy,detumescence
opaqueness,punitive,nexus,undulate,panegyric
impermeable,reciprocity,inimitable,harbinger,flak
console,antithetical,ale,evince,distrait
timid,holster,ulterior,fagged,plod
abscond,stifled,jagged,shrewd,refractory
abide,aseptic,sash,hollow,ramify
embezzle,propagation,recant,conspicuous,expedient
warrant,hapless,decorum,august,fecund
reminiscent,implacable,abet,rife,encomium
extinct,ineptitude,sever,snare,obloquy
loll,distraught,render,ascetic,trenchant
acclaimed,vigilance,discreet,rancorous,disconcert
clientele,condense,itinerate,mellifluous,pugnacious
catalyst,forestall,innocuous,levity,quaff
shallow,stipulate,ruffian,moot,vituperate
brittle,diabolical,abrogate,gaucherie,discomfit
negligent,provoke,tepid,macabre,quail
affable,lustrous,talon,amortize,impudent
poseur,lament,quiescence,delineate,calumny
dangle,plummet,exhaustive,finical,nemesis
moribund,subpoena,flinch,obviate,sublime
ascend,accrue,sodden,paean,peremptory
relapse,extol,crush,emote,blandishment
asterisk,vitriolic,insurrection,nadir,rabble
yarn,idolatry,ossify,congeal,untoward
arrogance,soot,doleful,uncouth,strut
salvage,valorous,quack,verve,voluble
livid,illicit,commodious,lope,sermon
divergence,apropos,intrepid,fervor,prosaic
rejuvenation,haughty,emaciate,lionize,bereft
allegiance,aversion,pariah,expostulate,fetter
vigorous,floe,unfeigned,epicurean,cant
dullard,complaisance,fixate,discourse,glib
dwarf,supersede,prim,sumptuous,turpitude
fragrant,apprehensive,thwart,noisome,raffish
judicious,latent,preternatural,sophomoric,implicate
nihilism,viscous,vilify,dogmatic,asperity
odor,topple,transgress,lassitude,ensign
scribble,deviance,hegemony,sanguine,contumacious
hospitable,concord,insinuate,broach,idyll
narcissism,pristine,recast,irksome,quotidian
sawdust,enunciate,intransigence,ostentation,teetotal
ameliorate,inept,servile,requite,veritable
ingest,variegate,infuse,kibosh,simper
gait,malevolence,engrossing,imperious,mien
sluggard,entangle,heinous,gauche,invective
succumb,impediment,covert,craven,hirsute
reiterate,undermine,fracas,prodigal,impugned
flop,slack,sketchy,brash,umbrage
defer,calisthenics,putrefaction,presage,meretricious
ossified,regicide,ubiquitous,supine,incense
eloquence,palate,assuage,didactic,surfeit
derivative,arduous,sycophant,verdant,endemic
commuter,prevalent,ebullience,desiccant,sophistry
clot,recluse,colander,philistine,unencumbered
weigh,pungency,festoon,palatial,felicitous
steeply,placate,cower,epiphany,hack
torque,tamper,proclivity,prodigious,atavistic
benefactor,iconoclast,assail,trifling,mettle
complaisant,hush,maul,intransigent,miseenscene
plea,frugal,forfeit,ensconce,toady
moderation,felon,urbane,heretic,peregrination
enduring,shun,quixotic,raconteur,forbear
invincible,finesse,burnish,ferment,ecumenical
sanity,whimsical,equivocal,perfidious,incipient
turmoil,bigot,stingy,agog,ineffable
flimsy,aloof,inadvertent,reactionary,plaintive
tadpole,indomitable,austere,hauteur,pine
reconcile,imperative,penury,wile,ostensible
cryptic,smolder,gnaw,qualm,piquant
